cohort,block,model,mode,roc_auc,pr_auc,brier,precision,recall,specificity,f1,f2,thr,thr_policy,repeat,fold
antepartum,FULL,XGB,weighted,0.76052699560837,0.48299758517371955,0.12457553891366471,0.22727272727272727,0.9183673469387755,0.35443037974683544,0.3643724696356275,0.5710659898477157,0.08,recall+precision,1,4
antepartum,FULL,XGB,weighted,0.783219537815126,0.5019853738370379,0.12062024583936178,0.184,0.9583333333333334,0.14285714285714285,0.3087248322147651,0.5203619909502263,0.09,fallback_f2.0,1,5
antepartum,FULL,XGB,resampled,0.7794444444444444,0.44836316094939815,0.09664773124347689,0.14173228346456693,1.0,0.128,0.2482758620689655,0.45226130653266333,0.09999999999999999,recall+precision,1,1
antepartum,FULL,XGB,resampled,0.749060856498873,0.3508012242513303,0.11963017013909093,0.18981481481481483,0.9318181818181818,0.2768595041322314,0.3153846153846154,0.5229591836734694,0.09,fallback_f2.0,1,2
antepartum,FULL,XGB,resampled,0.7776756301233432,0.5279633757578988,0.13884900067752157,0.27906976744186046,0.8421052631578947,0.4585152838427948,0.4192139737991266,0.6,0.09999999999999999,recall+precision,1,3
antepartum,FULL,XGB,resampled,0.7432188065099457,0.4654037831952837,0.12509460477385054,0.3291139240506329,0.5306122448979592,0.7763713080168776,0.40625,0.4727272727272727,0.15000000000000002,fallback_f2.0,1,4
antepartum,FULL,XGB,resampled,0.776654411764706,0.48110403674478497,0.12168001142343661,0.2868217054263566,0.7708333333333334,0.6134453781512605,0.4180790960451977,0.5763239875389408,0.13,fallback_f2.0,1,5
antepartum,FULL,LR,weighted,0.8185032139577594,0.541680171801334,0.11438627923117972,0.23636363636363636,0.8666666666666667,0.4793388429752066,0.37142857142857144,0.5652173913043478,0.11,recall+precision,2,1
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.8245638200183655,0.5641182328602996,0.11654884216523508,0.25477707006369427,0.8888888888888888,0.5165289256198347,0.39603960396039606,0.5934718100890207,0.12,recall+precision,2,1
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.8241046831955924,0.5618071775855634,0.1165018711097894,0.2564102564102564,0.8888888888888888,0.5206611570247934,0.39800995024875624,0.5952380952380952,0.12,fallback_f2.0,2,1
antepartum,FULL,LR,weighted,0.7727985246657446,0.43972079554794197,0.11460815589304561,0.2094240837696335,0.8888888888888888,0.37344398340248963,0.3389830508474576,0.5390835579514824,0.09999999999999999,recall+precision,2,2
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.7657906869525126,0.4415840242627717,0.11628786615400463,0.22598870056497175,0.8888888888888888,0.4315352697095436,0.36036036036036034,0.5602240896358543,0.11,recall+precision,2,2
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.7663439372982942,0.4430757518126307,0.1162293423372822,0.22598870056497175,0.8888888888888888,0.4315352697095436,0.36036036036036034,0.5602240896358543,0.11,recall+precision,2,2
antepartum,FULL,LR,weighted,0.7757627118644067,0.49458218412490695,0.13308131803248777,0.2594594594594595,0.96,0.4194915254237288,0.4085106382978723,0.6233766233766234,0.12,recall+precision,2,3
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.7829661016949152,0.5291265060544832,0.13073171727482294,0.24615384615384617,0.96,0.3771186440677966,0.39183673469387753,0.6075949367088608,0.11,recall+precision,2,3
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.7827118644067796,0.5265911561743394,0.13084673443480307,0.24615384615384617,0.96,0.3771186440677966,0.39183673469387753,0.6075949367088608,0.11,recall+precision,2,3
antepartum,FULL,LR,weighted,0.7984981226533165,0.4623602427362437,0.12527594593801464,0.22727272727272727,0.9574468085106383,0.35714285714285715,0.3673469387755102,0.582901554404145,0.13,recall+precision,2,4
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.7954586089755051,0.4480815497641809,0.12344068134293996,0.21634615384615385,0.9574468085106383,0.31512605042016806,0.35294117647058826,0.5681818181818182,0.12,recall+precision,2,4
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.7959949937421777,0.4480021157969956,0.12351024803392575,0.21428571428571427,0.9574468085106383,0.3067226890756303,0.35019455252918286,0.5653266331658291,0.12,recall+precision,2,4
antepartum,FULL,LR,weighted,0.8139410665004897,0.4706657660739649,0.12463108876815139,0.2781456953642384,0.8936170212765957,0.5439330543933054,0.42424242424242425,0.6194690265486725,0.14,recall+precision,2,5
antepartum,FULL,Ensemble_SoftVote_Uniform,ensemble,0.8131398557820707,0.46102532116127126,0.1221797515619641,0.23316062176165803,0.9574468085106383,0.3807531380753138,0.375,0.5905511811023622,0.12,recall+precision,2,5
antepartum,FULL,Ensemble_SoftVote_Weighted,ensemble,0.813317902608386,0.46180180907222523,0.12229697742855,0.23076923076923078,0.9574468085106383,0.3723849372384937,0.371900826446281,0.587467362924282,0.12,recall+precision,2,5
antepartum,FULL,LR,resampled,0.8071166207529843,0.5212167698901238,0.11457818413654988,0.2676056338028169,0.8444444444444444,0.5702479338842975,0.40641711229946526,0.5900621118012422,0.12,fallback_f2.0,2,1
antepartum,FULL,LR,resampled,0.7785154449054864,0.4391799987430436,0.1197507772580748,0.22527472527472528,0.9111111111111111,0.4149377593360996,0.36123348017621143,0.5662983425414365,0.13,recall+precision,2,2
antepartum,FULL,LR,resampled,0.7801694915254237,0.50332463379015,0.13054736610101317,0.24870466321243523,0.96,0.3855932203389831,0.3950617283950617,0.6106870229007634,0.11,recall+precision,2,3
antepartum,FULL,LR,resampled,0.7961737886644019,0.4860984831956465,0.11911273482970984,0.22842639593908629,0.9574468085106383,0.36134453781512604,0.36885245901639346,0.5844155844155844,0.11,recall+precision,2,4
antepartum,FULL,LR,resampled,0.8090447787768182,0.4744157642203738,0.12272184199370956,0.2647058823529412,0.9574468085106383,0.4769874476987448,0.4147465437788018,0.6284916201117319,0.13,recall+precision,2,5
antepartum,FULL,SVM,weighted,0.8380624426078972,0.4513746661618425,0.12093529476893262,0.2826086956521739,0.8666666666666667,0.5909090909090909,0.4262295081967213,0.6132075471698113,0.13,fallback_f2.0,2,1
antepartum,FULL,SVM,weighted,0.7487321346242508,0.4091841570644596,0.11804323060654037,0.20707070707070707,0.9111111111111111,0.34854771784232363,0.3374485596707819,0.5423280423280423,0.11,recall+precision,2,2
antepartum,FULL,SVM,weighted,0.7810169491525424,0.4592298156553489,0.13275737430491324,0.3,0.78,0.614406779661017,0.43333333333333335,0.5909090909090909,0.13,fallback_f2.0,2,3
antepartum,FULL,SVM,weighted,0.7674772036474165,0.40962184614272884,0.12327784426613056,0.19555555555555557,0.9361702127659575,0.23949579831932774,0.3235294117647059,0.5326876513317191,0.11,recall+precision,2,4
antepartum,FULL,SVM,weighted,0.7944004273123831,0.4201501374050548,0.12073224259420258,0.25,0.9148936170212766,0.4602510460251046,0.3926940639269406,0.5972222222222222,0.11,recall+precision,2,5
antepartum,FULL,SVM,resampled,0.8023415977961432,0.38698228121191847,0.11776077174054918,0.275,0.9777777777777777,0.5206611570247934,0.4292682926829268,0.6470588235294118,0.11,fallback_f2.0,2,1
